site,sample_type,sample_id,sample_depth,n-Heptylcyclohexane,n-Octylcyclohexane,n-Nonylcyclohexane,n-Decylcyclohexane,n-Undecylcyclohexane,n-Dodecylcyclohexane,n-Tridecylcyclohexane,n-Tetradecylcyclohexane
Bay 106,oiled,IMC-c 0-2,surface,0.064304937,0.18899515,1.360862764,13.94800659,10.00020816,22.7835261,24.90669497,26.74740133
Bay 106,oiled,IMC-c 5-10,subsurface,0.403567777,1.438972879,4.523571753,27.37365252,10.17708232,19.25137657,18.11378691,18.71798928
Bay 106,oiled,IMC-e 0-2,surface,0.789629688,3.028260061,6.469811818,35.46153348,9.100448498,16.068533,14.10596951,14.97581395
Bay 106,oiled,IMC-e 5-10,subsurface,0.431722349,0.582205576,6.446665868,36.1071019,10.50943666,15.96010599,13.81299735,16.14976431
Bay 106,oiled,IME-c 0-2,surface,1.038565111,2.374595999,3.631799003,45.61558641,2.129763565,2.327375044,2.33793467,40.5443802
Bay 106,oiled,IME-c 5-10,subsurface,0.6532399,3.913772344,11.56078479,51.59997676,9.328209567,13.01374908,5.056009431,4.874258132
Bay 106,oiled,IME-e 0-2,surface,1.92699986,9.280492414,12.26981302,42.28816916,11.53465873,12.91556325,4.877813981,4.906489574
Bay 106,oiled,IME-e 5-10,subsurface,0.506341354,0.574956178,2.140414521,15.01530808,7.961067465,24.59293035,22.77443826,26.43454379
Bay 11,oiled,B11-BS 0-2,surface,1.346544172,9.931014904,8.283960945,47.91637966,17.05512044,12.20748804,1.597685346,1.661806497
Bay 11,oiled,B11-BS 5-10,subsurface,2.908535473,3.093204392,3.081662585,52.54147221,28.0798331,3.254789696,3.451000423,3.589502112
Bay 11,oiled,B11-I 0-2,surface,0.644755586,3.065241096,25.30118145,43.67609675,13.08822546,8.534394653,2.634520789,3.05558422
Bay 11,oiled,B11-I 5-10,subsurface,3.657955718,1.617346303,17.13839566,40.6247277,18.0517565,11.49989321,1.52470603,5.885218885
Crude Oil Point,oiled,T1 0-2,surface,0.443362395,0.402735481,0.719449026,9.215482464,6.344634355,21.87140892,26.29013189,34.71279546
Crude Oil Point,oiled,T1 5-10,subsurface,0.111323429,0.141022946,0.630837584,12.61312403,10.53992002,24.82982889,24.25410651,26.8798366
Crude Oil Point,oiled,T2 0-2,surface,0.210104558,0.243950817,0.430412903,11.28782183,9.963652211,21.76201056,25.35989662,30.7421505
Crude Oil Point,oiled,T2 5-10,subsurface,0.149402737,0.241840238,0.492492763,12.37067791,12.19019257,23.50742628,24.47907059,26.56889691