site,sample_type,sample_id,sample_depth,n-Hexylcyclohexane,n-Heptylcyclohexane,n-Octylcyclohexane,n-Nonylcyclohexane,n-Decylcyclohexane,n-Undecylcyclohexane,n-Dodecylcyclohexane,n-Tridecylcyclohexane,n-Tetradecylcyclohexane
Bay 102,control,N12,surface,0,4.99616594,19.2926052,22.84300069,43.70355963,5.747828047,3.056473553,0.360366949,0
Bay 102,control,N12,subsurface,0,2.392916293,15.5763564,18.55642872,49.97745473,8.154277054,4.12430227,1.218264529,0
Bay 102,control,GICB-NH,surface,0,2.114324102,5.049336809,11.72741411,62.27114482,11.33502654,7.502753628,0,0
Bay 102,control,GICB-NH,subsurface,0,0,0,9.478626923,65.81022334,13.57564187,11.13550787,0,0
Bay 102,control,NI-11,surface,0,5.822569197,19.90679005,9.798736567,44.09640071,12.11290893,8.262594552,0,0
Bay 102,control,NI-11,subsurface,0,5.31486415,12.38459798,11.190696,54.84387969,8.864738991,7.401223189,0,0
Bay 106,oiled,IMC-c,surface,0,0.064304937,0.18899515,1.360862764,13.94800659,10.00020816,22.7835261,24.90669497,26.74740133
Bay 106,oiled,IMC-c,subsurface,0,0.403567777,1.438972879,4.523571753,27.37365252,10.17708232,19.25137657,18.11378691,18.71798928
Bay 106,oiled,IMC-e,surface,0,0.789629688,3.028260061,6.469811818,35.46153348,9.100448498,16.068533,14.10596951,14.97581395
Bay 106,oiled,IMC-e,subsurface,0,0.431722349,0.582205576,6.446665868,36.1071019,10.50943666,15.96010599,13.81299735,16.14976431
Bay 106,oiled,IME-c,surface,0,1.038565111,2.374595999,3.631799003,45.61558641,2.129763565,2.327375044,2.33793467,40.5443802
Bay 106,oiled,IME-c,subsurface,0,0.6532399,3.913772344,11.56078479,51.59997676,9.328209567,13.01374908,5.056009431,4.874258132
Bay 106,oiled,IME-e,surface,0,0,9.462841354,12.51089801,43.11907365,11.76129895,13.16933635,4.973656332,5.002895361
Bay 106,oiled,IME-e,subsurface,0,0.506341354,0.574956178,2.140414521,15.01530808,7.961067465,24.59293035,22.77443826,26.43454379
Bay 11,oiled,B11-BS,surface,0,0,10.41052755,8.683946655,50.22999114,17.87861593,12.79691872,0,0
Bay 11,oiled,B11-BS,subsurface,0,0,0,0,65.17070396,34.82929604,0,0,0
Bay 11,oiled,B11-I,surface,0,0.644755586,3.065241096,25.30118145,43.67609675,13.08822546,8.534394653,2.634520789,3.05558422
Bay 11,oiled,B11-I,subsurface,0,3.657955718,1.617346303,17.13839566,40.6247277,18.0517565,11.49989321,1.52470603,5.885218885
Crude Oil Point,oiled,T1,surface,0,0.443362395,0.402735481,0.719449026,9.215482464,6.344634355,21.87140892,26.29013189,34.71279546
Crude Oil Point,oiled,T1,subsurface,0,0.111323429,0.141022946,0.630837584,12.61312403,10.53992002,24.82982889,24.25410651,26.8798366
Crude Oil Point,oiled,T2,surface,0,0.210104558,0.243950817,0.430412903,11.28782183,9.963652211,21.76201056,25.35989662,30.7421505
Crude Oil Point,oiled,T2,subsurface,0,0.149402737,0.241840238,0.492492763,12.37067791,12.19019257,23.50742628,24.47907059,26.56889691
Crude Oil Point,control,TC,surface,0,2.886398065,16.95920354,20.89267347,50.27520475,5.62525246,3.361267714,0,0
Crude Oil Point,control,TC,subsurface,0,2.190522289,13.50432965,18.54089484,51.68008071,7.275918003,4.987455671,1.404678978,0.416119857
Milne Inlet,control,MI-BS,surface,0,6.819122909,27.65287544,25.46995509,33.92436216,4.25319379,1.880490613,0,0
Milne Inlet,control,MI-BS,subsurface,1.298806971,6.780654859,22.45924052,27.16291107,35.43285839,3.974353364,2.054226742,0.690647046,0.14630105
Milne Inlet,control,MI-I,surface,0,2.413338924,16.21070435,22.33325905,49.36359395,6.829137546,2.169912971,0.680053211,0
Milne Inlet,control,MI-I,subsurface,0,4.030559545,19.11777594,23.81600308,43.5418765,6.820075709,2.673709232,0,0
Resolute,control,RB1,surface,0,0,7.745300446,9.613169619,47.39487124,14.40753015,7.320710638,13.51841791,0
Resolute,control,RB1,subsurface,0,0,0,3.440084351,41.6494112,9.060836647,9.343106493,16.34548203,20.16107928
Resolute,control,TB3,surface,0,0,0,7.05842162,41.61092872,22.9328764,15.34211422,13.05565904,0
Resolute,control,TB3,subsurface,0,0,0,10.68694922,40.96689268,20.37670385,18.7381653,9.231288949,0