sample_id,sample_year,nC18,Phytane,nC30
B11-I 0-2,2001,0,2,6.6
B11-I 5-10,2001,79.6,100,87.5
T1 0-2,2001,90.5,100,100
T2 0-2,2001,100,100,97.4
IMC-c 0-2,2001,8.6,74.3,49.2
IMC-c 5-10,2001,17.8,100,98.7
B11-I 0-2,2019,1.690113984,14.0299721,1.318212312
B11-I 5-10,2019,0.961569332,9.669951268,10.03349238
T1 0-2,2019,1.468516981,16.41246634,74.03378534
T2 0-2,2019,1.790108966,15.04379577,56.99007403
IMC-c 0-2,2019,6.380113298,48.00100236,39.50091028
IMC-c 5-10,2019,9.889778902,30.72694069,28.26775667