site,sample_type,sample_id,sample_depth,nC11-nC15,nC16-nC26,nC27-nC35,pristane & phytane,pahs,biomarkers,alkyl_benzenes,alkyl_cyclo_alkanes
Bay 11,oiled,B11-BS,surface,4.004523559,8.524573881,69.64989355,8.829449699,5.035693364,2.249159208,0.745049507,0.961657237
Bay 11,oiled,B11-BS,subsurface,36.7196472,5.55321006,12.78729573,29.65725316,9.174632284,0,2.764344411,3.343617156
Bay 11,oiled,B11-I,surface,12.70358549,49.99029778,15.86105398,8.693167758,1.588486489,6.949506232,0.694926476,3.518975793
Bay 11,oiled,B11-I,subsurface,5.260337743,45.75675351,36.14899964,4.479333682,1.664452091,5.060845493,0.341881751,1.287396088
Crude Oil Point,oiled,T1,surface,0.347534222,18.01029657,76.5860523,2.00441687,1.206933261,0.817902337,0.315648933,0.711215507
Crude Oil Point,oiled,T1,subsurface,0.366175306,50.53244705,42.27497102,4.166087541,1.130636557,0.462616827,0.387163713,0.679901988
Crude Oil Point,oiled,T2,surface,0.426184868,15.69170317,78.77656992,2.330558846,1.73152138,0.618228968,0.143252871,0.281979981
Crude Oil Point,oiled,T2,subsurface,0.356658677,46.76298449,45.89340752,3.046359726,0.975984579,0.934930864,0.684692502,1.344981643
Bay 106,oiled,IMC-c,surface,0.730341175,46.59747337,39.45318934,6.97548305,1.555170787,1.710401016,0.912052202,2.06588906
Bay 106,oiled,IMC-c,subsurface,2.212124315,57.45594885,30.10350585,4.597556253,1.790670007,1.604790599,0.624778379,1.610625753
Bay 106,oiled,IMC-e,surface,3.023509,48.77166458,29.90035848,11.77569436,1.340836953,2.720472775,0.663112109,1.804351741
Bay 106,oiled,IMC-e,subsurface,3.071648843,38.86055056,46.71969778,4.717508677,1.543367787,3.342855786,0.292046458,1.452324107
Bay 106,oiled,IME-c,surface,3.428230999,19.3538433,53.2175807,6.650697058,6.803119703,9.016216144,0.418990646,1.111321453
Bay 106,oiled,IME-c,subsurface,9.317357479,18.90853474,47.88017248,8.198310136,6.431238203,6.877331151,0.445794343,1.941261468
Bay 106,oiled,IME-e,surface,7.082353043,17.08122957,55.92769485,6.793374697,3.962793153,7.596797019,0.601193943,0.954563722
Bay 106,oiled,IME-e,subsurface,2.846772485,56.70742402,20.7539146,6.235659576,4.683779798,5.213643529,1.471004939,2.087801055
NA,NA,Tech. Mix,surface,27.76300057,46.09054144,19.80441548,2.526183092,2.16686415,0.189789161,0.412613059,1.046593051
NA,NA,Tech. Mix,subsurface,27.76300057,46.09054144,19.80441548,2.526183092,2.16686415,0.189789161,0.412613059,1.046593051